1.FAMILIA,2.Especie,3.Nrecolecci¢n,4.Datos,5.M/F/H,6.AzucarX,7.AzucarE.S.,8.Azucarn,9.PolenX,10.PolenE.S.,11.Polenn,12.Volumenpolen/flor(mm3),13.Porte,14.A/P/B,15.TamanofloralMin,16.TamanofloralMax,17.TamanofloralX,18AltitudMin,19.AltitudMax,20.AltitudX,21.FloracionInicio,22.FloracionFinal,23.FloracionDuraci¢n,24.Simetria,25.Soldadura,26.Raverage,27.Hue,28.Brightness,29.Chroma,30.UVChroma,31.MeanAbsGC,32.Dist.0,33.N,34.Zona medida
RANUNCULACEAE,Ranunculus muricatus,154/18,PF,,,,,11120,,1,0.38,3,A,10,15,12.5,0,1600,800,3,6,3,R,NO,0.380803276,588.2077778,437.5429644,1.720070253,0.153085328,0.262947223,0.377481673,9,1
RANUNCULACEAE,Ranunculus paludosus,,PF,,,,,284715,30356.09,2,3.98,3,P,15,30,22.5,0,1800,900,3,5,2,R,NO,0.309471604,610.2033333,355.5828733,2.120078349,0.074856272,0.233386436,0.537189142,3,1
RHAMNACEAE,Rhamnus lycioides,27/18,PO,M,0,,,20668,841,10,0.06,2,P,2,6,4,0,1300,650,3,5,2,R,NO,0.098745257,545.8266667,113.4583,1.90783518,0.102017004,0.039108858,0.115459474,3,1
ROSACEAE,Crataegus monogyna,29/18,PO,,98,15,33,24141,1651,10,0.067,2,P,8,18,13,0,2200,1100,3,5,2,R,NO,0.500163668,475.635,574.688055,1.391179565,0.021718988,0.338346011,0.207523718,2,1
ROSACEAE,Rubus ulmifolius,198/18,PO,,173,61,33,641366,15912,10,3.21,2,P,18,28,23,0,1700,850,5,9,4,R,NO,0.363632106,695.5166667,417.81329,1.516952074,0.035241895,0.248658874,0.152144971,3,1
RUBIACEAE,Asperula hirsuta,98/18,LA/PF,,0.01,,30,,,,,2/3,P,6.5,11,8.75,0,1800,900,3,7,4,R,SI,0.19825765,659.82,227.79804,1.329458921,0.041665396,0.141364525,0.168908106,2,1
RUBIACEAE,Crucianella maritima,171/18,LA/PF,,0.1,,10,14835,7884.71,4,0.09,2,A,10,14,12,0,10,5,5,8,3,R,SI,0.096301923,699.97,110.65091,1.998344627,0.098364912,0.041224466,0.112763701,3,1
SCROPHULARIACEAE,Bartsia trixago,"55/18,61/18, 63/18",PF,,0,,30,34865,5498.08,10,0.48,3,A,17,25,21,0,1300,650,3,6,3,Z,SI,0.44630497,525.343,512.80441,1.41766439,0.017677322,0.319334774,0.237476147,10,1
SCROPHULARIACEAE,Linaria alpina,,DA,,237.23,161.87,6,,,,,3,A,12,30,21,250,3300,1775,6,9,3,Z,SI,0.050604049,699.906,58.144052,2.713979486,0.12292555,0.263853013,0.20408359,5,1
SCROPHULARIACEAE,Linaria viscosa,,DA,,154.64,93.28,32,207080,20004.3,10,0.25,3,A,24,30,27,0,2600,1300,2,6,4,Z,SI,0.301460043,581.7726316,346.3775889,1.924152748,0.027999833,0.259477676,0.367547187,19,1
SCROPHULARIACEAE,Misopates orontium,,DA,,67.68,79.27,26,51534,8099.11,10,0.23,3,A,9,22,15.5,0,1200,600,3,5,2,Z,SI,0.11762004,697.877,135.1454263,2.09510987,0.034264618,0.088084045,0.189762628,30,1
SCROPHULARIACEAE,Parentucellia viscosa,57/18,PF,,,,,27336,2523.11,5,0.38,3,A,15,25,20,0,1400,700,3,6,3,Z,SI,0.338130128,579.248,388.511517,1.970028553,0.012280748,0.281315384,0.463353305,10,1
SCROPHULARIACEAE,Pedicularis sylvatica,,DA,,86.53,100.64,28,,,,,3,A,18,28,23,0,2400,1200,3,5,2,Z,SI,0.108529487,678.3383333,124.700381,1.583133375,0.086776619,0.105465215,0.117350121,30,1
SCROPHULARIACEAE,Scrophularia frutescens,185/18,PO,,106,14,30,22984,1231,10,0.14,2,,4,5,4.5,0,50,25,2,5,3,Z,SI,0.113649721,699.97,130.58353,3.970849718,0.140760538,0.184486825,0.210746601,2,1
SCROPHULARIACEAE,Scrophularia sambucifolia,60/18,PF/LA,,3.6,,16,,,,,3,P,12,23,17.5,0,1300,650,3,4,1,Z,SI,0.209385907,699.97,240.5844067,1.898634246,0.094480766,0.156521462,0.041337673,3,P‚talo inferior
SOLANACEAE,Solanum nigrum,66/18,PF,,,,,55775,12126.8813,2,0.5,3,A,5,8,6.5,0,1200,600,1,1,12,R,NO,0.315642326,545.832,362.673032,1.275338505,0.037571682,0.245481554,0.173018539,5,1
TAMARIACEAE,Tamarix gallica,"170/18, 172/18",PO,,0.009,,,9570,420,10,0.04,2,P,3.6,4,3.8,0,800,400,5,6,1,R,NO,0.12725517,604.55,146.21619,1.319647169,0.042630574,0.089570534,0.18088261,3,1
THYMELACEAE,Daphne gnidium,,PO/DA,,25,8,33,3276,281,10,0.02,2,P,4.5,6.5,5.5,0,1400,700,7,9,2,R,SI,0.218246357,544.3316667,250.7650642,1.497187321,0.046120491,0.175509823,0.171830873,12,1
VALERIANACEAE,Fedia cornucopiae,,PF/H,,0.009,,10,2303,88.39,2,0.14,3,A,8,16,12,0,1200,600,2,5,3,Z,SI,0.228844505,692.13,262.9423367,1.582225555,0.077434508,0.09756239,0.1581167,3,1
VERBENACEAE,Verbena officinalis,128/18,PF,,,,,2268,194.45,2,0.017,3,P,4.5,6.5,5.5,0,1600,800,6,10,4,Z,SI,0.189040923,698.3433333,217.20802,1.715002635,0.043013377,0.102227796,0.186720325,3,1
