1.FAM;2.SP;2.Especies2;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize
Plantaginaceae;Misopates orontium;Misopates_orontium;67.68;21.92;51534;0.23;3;A;15.5;Z;SI;697.877;135.1454263;2.09510987;0.034264618;0.088084045;0.189762628;B;pink;Bilabiada;;
Myrtaceae;Myrtus communis;Myrtus_communis;0;;1330295;2.66;2;P;22;R;NO;543.9866667;433.80036;1.405658663;0.020689544;0.291089801;0.202770899;B-G;white;Radiada;832;1834
Fabaceae;Ononis baetica;Ononis_baetica;0;;49600;0.059;3;A;13.5;Z;NO;695.40375;242.9710013;2.175300285;0.010130751;0.088857046;0.266980296;B-G;pink;Papilionada;;
Fabaceae;Ononis pinnata;Ononis_pinnata;0;;;;3;P;17;Z;NO;692.9033333;267.7149233;2.272359434;0.047354378;0.063325306;0.16790328;B;pink;Papilionada;;
Fabaceae;Ononis viscosa;Ononis_viscosa;0;;;;3;A;12;Z;NO;657.71375;353.5086475;1.653157246;0.121065321;0.227668467;0.245909182;G-UV;yellow;Papilionada;;
Asparagaceae;Ornithogalum baeticum;Ornithogalum_baeticum;52.77;25;38288;1.99;3;P;36;R;NO;490.2921739;474.918187;1.318108726;0.079364917;0.324277072;0.081330194;B;white;Radiada;;
Fabaceae;Ornithopus sativus;Ornithopus_sativus;44;24.89;;;3;A;10;Z;NO;589.44;412.23868;1.636112865;0.027081037;0.228696387;0.199804304;B-G;white;Papilionada;;
Papaveraceae;Papaver rhoeas;Papaver_rhoeas;0;;;13.3;3;A;60;R;NO;666.7563636;214.4005336;2.597987667;0.208667614;0.153279695;0.34417304;UV;red;Radiada;1;6
Orobanchaceae;Parentucellia viscosa;Parentucellia_viscosa;0.49;25.5;27336;0.38;3;A;20;Z;SI;579.248;388.511517;1.970028553;0.012280748;0.281315384;0.463353305;G;yellow;Bilabiada;;
Lamiaceae;Phlomis purpurea;Phlomis_purpurea;1939.01;38.2;46086;0.055;2;P;26.5;Z;SI;625.636;372.964919;1.435400319;0.039217494;0.239102487;0.291458145;B-G;purple;Bilabiada;12;318
Ranunculaceae;Ranunculus muricatus;Ranunculus_muricatus;;;11120;0.38;3;A;12.5;R;NO;588.2077778;437.5429644;1.720070253;0.153085328;0.262947223;0.377481673;G-UV;yellow;Radiada;;
Ranunculaceae;Ranunculus paludosus;Ranunculus_paludosus;;;284715;3.98;3;P;22.5;R;NO;610.2033333;355.5828733;2.120078349;0.074856272;0.233386436;0.537189142;G-UV;yellow;Radiada;;
Brassicaceae;Raphanus raphanistrum;Raphanus_raphanistrum;0;;97800;0.54;3;A;40;R;NO;361.068;709.8011723;0.64268568;0.268388071;0.323617881;0.0898168;UV;yellow;Radiada;;
Fabaceae;Retama sphaerocarpa;Retama_sphaerocarpa;;;3448;0.002;2;P;6;Z;NO;645.7125;194.8500125;1.759531417;0.044788684;0.121852809;0.238748265;G;yellow;Papilionada;12065;7239
Rhamnaceae;Rhamnus lycioides;Rhamnus_lycioides;0;;20668;0.06;2;P;4;R;NO;545.8266667;113.4583;1.90783518;0.102017004;0.039108858;0.115459474;G;green;Radiada;7742;3968
